이름,도로명주소,위도,경도
헬리오시티우편취급국,"서울특별시 송파구 송파대로 345, 헬리오시티 상가 1A동 2043호 (2층 43호) (가락동, 헬리오시티)",,
광운대학교우편취급국,"서울특별시 노원구 광운로 20 (월계동,광운대학교)",,
삼육대학교우체국출장소,"서울특별시 노원구 화랑로 815 (공릉동,삼육대학교)",,
삼육대학교우편취급국,"서울특별시 노원구 화랑로 815 제3과학관 지층 (공릉동, 삼육대학교)",,
서울공릉2동우편취급국,서울특별시 노원구 공릉로 168 (공릉동),,
서울공릉동우체국,서울특별시 노원구 동일로 988 (공릉동),,
서울과학기술대우편취급국,"서울특별시 노원구 공릉로 232 (공릉동,서울과학기술대학교)",,
서울노원역우편취급국,"서울특별시 노원구 노해로 492, 202호 (상계동,프린스빌딩)",,
서울노원우체국,서울특별시 노원구 중계로 123 (중계동),,
서울상계10동우체국,서울특별시 노원구 노원로 510 (상계동),,
서울상계1동우체국,서울특별시 노원구 동일로 1632 (상계동),,
서울상계3동우체국,서울특별시 노원구 덕릉로113길 18 (상계동),,
서울상계5동우편취급국,서울특별시 노원구 한글비석로31길 19 (상계동),,
서울상계6동우체국,서울특별시 노원구 노해로 448 (상계동),,
서울상계8동우편취급국,"서울특별시 노원구 한글비석로 571 (상계동,상계주공아파트(10단지))",,
서울상계미도우편취급국,서울특별시 노원구 덕릉로 459-37 (상계동),,
서울상계한양우편취급국,"서울특별시 노원구 동일로216길 92 (상계동,한양아파트)",,
서울수락산우체국,서울특별시 노원구 동일로 1693-6 (상계동),,
서울여자대학교우편취급국,"서울특별시 노원구 화랑로 621 (공릉동,서울여자대학교)",,
서울월계2동우체국,서울특별시 노원구 월계로 317 (월계동),,
서울월계3동우체국,서울특별시 노원구 마들로 57-1 (월계동),,
서울월계시영우편취급국,"서울특별시 노원구 월계로 370, 116호 (월계동,희성프라자)",,
서울중계3동우체국,서울특별시 노원구 공릉로 392 (중계동),,
서울중계동우체국,서울특별시 노원구 한글비석로 286 (중계동),,
서울하계시영우편취급국,"서울특별시 노원구 공릉로58길 78 (하계동,하정빌딩)",,
제77군사우편출장소,"서울특별시 노원구 화랑로 574, 육군사관학교 (공릉동)",,
LS용산타워우편취급국,서울특별시 용산구 한강대로 92 (한강로2가),,
국방부구내우편취급국,서울특별시 용산구 이태원로 22 (용산동3가),,
서울남영동우체국,서울특별시 용산구 두텁바위로 6-1 (남영동),,
서울보광동우체국,서울특별시 용산구 보광로 25 (보광동),,
서울용문동우체국,서울특별시 용산구 원효로41길 47 (원효로3가),,
서울용산2가우편취급국,서울특별시 용산구 신흥로18길 3 (용산동2가),,
서울용산우체국,서울특별시 용산구 한강대로 118 (한강로2가 142),,
서울원효로우체국,서울특별시 용산구 원효로 227 (원효로1가),,
서울이촌동우체국,서울특별시 용산구 이촌로77길 9 (이촌동),,
서울이태원우체국,서울특별시 용산구 녹사평대로 212 (이태원동),,
서울청파3가우편취급국,서울특별시 용산구 청파로47길 7 (청파동3가),,
서울한강로3가우편취급국,"서울특별시 용산구 이촌로 101 (한강로3가, 한진빌딩)",,
서울한남동우체국,서울특별시 용산구 대사관로 49 (한남동),,
서울후암동우체국,서울특별시 용산구 후암로 58-1 (후암동),,
동서울우편집중국,서울특별시 광진구 자양로 76(자양동),,
건국대학교우편취급국,"서울특별시 광진구 능동로 120 학생회관 106호 (화양동, 건국대학교)",,
서울경안우편취급국,서울특별시 광진구 자양로 242 (구의동),,
서울광나루우편취급국,서울특별시 광진구 광장로 80 (광장동),,
서울광진우체국,서울특별시 광진구 강변역로 2 (구의동),,
서울금호동우체국,서울특별시 성동구 금호로11길 2 (금호동2가),,
서울능동우편취급국,서울특별시 광진구 면목로 17-1 (군자동),,
서울대림아파트우편취급국,서울특별시 성동구 독서당로 434 대림종합상가 209호(응봉동100),,
서울뚝섬우체국,서울특별시 성동구 뚝섬로3길 14 (성수동1가),,
서울마장동우체국,서울특별시 성동구 고산자로 352 (마장동),,
서울성동우체국,서울특별시 성동구 왕십리로 303 (행당동),,
서울성수노룬산우편취급국,"서울특별시 광진구 아차산로30길 25 (자양동, 새마을금고)",,
서울성수동우편취급국,서울특별시 성동구 성수동2가 300-10,,
서울옥수동우편취급국,서울특별시 성동구 독서당로 173(옥수동),,
서울왕십리우체국,서울특별시 성동구 마장로 194 (홍익동),,
서울용답동우체국,서울특별시 성동구 천호대로 378 (용답동),,
서울자양동우체국,서울특별시 광진구 뚝섬로 640 (자양동),,
서울장로회신학대학교우편취급국,서울특별시 광진구 광장로5길 25-1 (광장동),,
서울중곡3동우편취급국,서울특별시 광진구 용마산로 189 (중곡동),,
서울중곡동우체국,서울특별시 광진구 긴고랑로 68(중곡동),,
서울테크노마트우편취급국,서울특별시 광진구 광나루로56길 85 (구의동),,
서울한양대학교우체국,서울특별시 성동구 왕십리로 222 (사근동),,
서울화양동우체국,서울특별시 광진구 광나루로 356 (화양동),,
세종대학교우편취급국,"서울특별시 광진구 능동로 209 (군자동,세종대학교)",,
국회구내우체국,"서울특별시 영등포구 의사당대로 1, 본관 (여의도동)",,
국회구내출장소,"서울특별시 영등포구 의사당대로 1, 국회의원회관 1층 (여의도동)",,
서울FKI타워우편취급국,"서울특별시 영등포구 여의대로 24 (여의도동, FKI타워)",,
서울당산2동우편취급국,서울특별시 영등포구 당산로 172-1 (당산동4가),,
서울대림1동우편취급국,서울특별시 영등포구 대림로 146 (대림동),,
서울대림동우체국,서울특별시 영등포구 대림로 85 (대림동),,
서울문래동우체국,서울특별시 영등포구 도림로 429 (문래동2가),,
서울문래현대A우편취급국,"서울특별시 영등포구 문래로4길 6 (문래동6가,현대2차아파트)",,
서울신길2동우편취급국,서울특별시 영등포구 도신로 195 (신길동),,
서울신길3동우편취급국,서울특별시 영등포구 가마산로51길 1 (신길동),,
서울신길5동우체국,서울특별시 영등포구 신길로 65 (신길동),,
서울신길7동우편취급국,"서울특별시 영등포구 신풍로 77 래미안에스티움 상가 씨동 117호 (신길동, 래미안에스티움)",,
서울신길동우체국,서울특별시 영등포구 여의대방로 161 (신길동),,
서울양평1가우편취급국,서울특별시 영등포구 선유서로26길 24 (양평동1가),,
서울양평동우체국,서울특별시 영등포구 양평로 92 (양평동4가),,
서울여의대방로우편취급국,"서울특별시 영등포구 여의대방로 379, 208,209호 (여의도동)",,
